VendorNumber__,OrderNumber__,ItemNumber__,Description__,OrderedAmount__,OrderedQuantity__,DeliveredAmount__,DeliveredQuantity__,InvoicedAmount__,InvoicedQuantity__,TaxCode__,CompanyCode__,UnitPrice__,PartNumber__,GLAccount__,CostCenter__,BudgetID__,TaxRate__,ItemCategory__,Location__,Customer__,CustomerId__
V02795,47905,1,Office Supplies,21.76,,,,0,0,,19,,,1897,,,,,Texas : UL Houston - Distribution,,
V02795,47905,2,,21.76,,,,0,0,,19,,,1897,,,,,Texas : UL Houston - Distribution,,
V02795,47905,3,,10.88,,,,0,0,,19,,,1897,,,,,Texas : UL Houston - Distribution,,
V02795,47905,4,,31.71,,,,0,0,,19,,,1897,,,,,Texas : UL Houston - Distribution,,
V02795,47905,5,,4.16,,,,0,0,,19,,,1897,,,,,Texas : UL Houston - Distribution,,
V02795,47905,6,,21.76,,,,0,0,,19,,,1897,,,,,Texas : UL Houston - Distribution,,
V02795,47905,7,,38.32,,,,0,0,,19,,,1897,,,,,Texas : UL Houston - Distribution,,
V02795,47905,8,,21.76,,,,0,0,,19,,,1897,,,,,Texas : UL Houston - Distribution,,
V02795,47905,9,,14.20,,,,0,0,,19,,,1116,,,,,Texas : UL Houston - Distribution,,
V02791,47907,1,First aid kit supplies,585.08,,,,0,0,,19,,,1897,,,,,Texas : UL Houston - Distribution,,
V03502,47941,1,FORKLIFT PROPANE,72.00,,,,0,0,,19,,,1070,,,,,Texas : UL Houston - Distribution,,
V02195,47978,1,XS-BK100 "B" In 55 Gal Drum,49311.60,34800,49311.6,34800,0,0,,2,1.417,Z-XS-BK100B-435LB,110,,,,Chemical : Spray Coating : XS 100,Alabama : Huntsville-Distribution,,
V02195,47978,2,BAXXODUR PC-1362 -DRUMS,4431.96,837.8,4431.962,837.8,0,0,,2,5.29,Z-PC136,110,,,,Chemical : Blended : Raw Material,Alabama : Huntsville-Distribution,,
V02165,47983,1,P4342R-18kg PailREPI's Pigment Item 99430 Color = BLACK Packaged in 18kg Plastic Pail,6295.244,1278,6383.9098944,1296,0,0,,18,4.9258564,P4342R-18kg,110,,,.00,Pigments,Netherlands : Almer - Distribution,,
V02165,47983,2,VAT,.00,-1,,,0,0,,18,.00,Z-NL : EZ-NL,1926,,,,,Netherlands : Almer - Distribution,,
V03502,48071,1,Propane Exchange,72.00,,,,0,0,,19,,,1070,,,,,Texas : UL Houston - Distribution,,
V00463,48177,1,Sia Soft Sanding Pads/Box20,2486.25,4800,2486.2488,4800,0,0,,2,.5179685,SSP,110,,,,Supplies : Other,Alabama : Huntsville-Distribution,,
V03291,48226,1,10 X16 3 MIL POLY BAGS,196.00,4000,196,4000,0,0,,19,.049,Z-QL-BAGS OLD,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48237,1,21845-00 KitRepairfl.Sect.1:1,90.90,1,90.9,1,0,0,,19,90.90,GC0819,110,,,,,Texas : UL OffSite Inventory,PERFORMANCE CAR AND TRUCK /aka  KLC LLC,U3743
V02458,48237,2,Freight Charge,11.62,1,,,0,0,,19,11.62,Freight - UL,1767,,,,Freight : Direct,Texas : UL OffSite Inventory,,
V02458,48245,1,121005 CABLE CAN MALE/FEMALE 15.0M,66.60,1,66.6,1,0,0,,19,66.60,G121005,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL OffSite Inventory,Argus Corporation,U3847
V02458,48245,2,Freight Charge,11.33,1,,,0,0,,19,11.33,Freight - UL,1767,,,,Freight : Direct,Texas : UL OffSite Inventory,,
V02594,48250,1,1/4" GENERAL PURPOSE HOSE (300 PSI),480.00,1000,480,1000,0,0,,19,.48,H-GP-1/4-300,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02594,48250,2,1/2" MNPT X 3/4" FNPT REDUCER,163.00,50,163,50,0,0,,19,3.26,Z-F-5405-8-12 OLD,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02594,48250,3,3/8" MNPT  x 1/4 MNPT 90 Deg. Elbow,96.50,50,94.57,49,0,0,,19,1.93,F-ELB-6M-4M-SS,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V03106,48257,1,UL XT 66 HP 1:1 COAT A DRUM 55 GALLONS,747.34,473,747.34,473,0,0,,19,1.58,Z-C-DULXT66A,110,,,,Chemical : HP,California : UL Santa Fe Springs-Distributio,UL Claim Account,U8002
V03106,48257,2,UL XT 66 HP 1:1 COAT B BLACK 55 GAL DRUM,672.09,430,672.09,430,0,0,,19,1.563,Z-C-DULXT66B-BL,110,,,,Chemical : HP,California : UL Santa Fe Springs-Distributio,UL Claim Account,U8002
V02458,48295,1,GUNAIRPRO AUTOHVLP(.055),617.25,1,617.25,1,0,0,,19,617.25,G24A756,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48295,2,KITREPAIRSEALS T1,714.00,10,714,10,0,0,,19,71.40,G24X055,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48295,3,KITFTSRTDSINGLE HOSEDROP SHIP,3876.60,7,3876.6,7,0,0,,19,553.80,G258758,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48295,4,16832-00   8 Switch Assy Switch Air,2934.00,15,2934,15,0,0,,19,195.60,GC0128,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48295,5,23961-00 Front Tip,1344.00,40,1344,40,0,0,,19,33.60,GC1914,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48295,6,23958-00 Seal Kit P2,1046.46,107,1036.68,106,0,0,,19,9.78,GC2494,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48295,7,23950-01 P2 Spray Gun,19200.00,10,19200,10,0,0,,19,1920.00,Z-GCP2R1 OLD,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48295,8,KITREPAIRPUMPAXP1B-SIDE,333.90,6,333.9,6,0,0,,19,55.65,G17K352,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48295,9,E-XP2 SYSTEM REACTOR 2 P2INCLUDES:1-272012 E-XP2 REACTOR 21-24K241 MAIN HOSE1-246055 WHIP HOSE1-GCP2R1 P2 SPRAY GUN,60480.00,3,60480,3,0,0,,19,20160.00,Z-GP22012 OLD,110,,,,Equipment : Machine Parts : XP2,Texas : UL Houston - Distribution,,
V02458,48295,10,50' Heated Hose,10962.00,7,10962,7,0,0,,19,1566.00,G246679,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48295,11,CIRCULATION KIT2-GH45010 2- G162-449 2- G246-477,1125.60,2,1125.6,2,0,0,,19,562.80,Z-G246978 OLD,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48295,12,Quick Shot Grease Pk/10,2122.50,500,2122.5,500,0,0,,19,4.245,G248280,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48295,13,Pump Rebuild Kit,601.20,4,601.2,4,0,0,,19,150.30,G246420,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48295,14,Check Valve ISO,208.80,4,208.8,4,0,0,,19,52.20,G246731,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48295,15,50' Heated Hose,23490.00,15,23490,15,0,0,,19,1566.00,G24K241,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48295,16,KIT NOZZLEPRESS FEED.055,691.68,16,691.68,16,0,0,,19,43.23,G289064,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48295,17,PUMP 1050A SS/SS/PT/PT,8746.50,7,6247.5,5,0,0,,19,1249.50,G647018,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48295,18,23970-00 Spring,334.80,120,334.8,120,0,0,,19,2.79,GC1923,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48295,19,23973-00 P2 Side Seal Kit,1354.62,107,1354.62,107,0,0,,19,12.66,GC2498,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48295,22,Hose Htd 2000 3/8 W/S  246678,5535.00,5,5535,5,0,0,,19,1107.00,G246678,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48295,23,GUN GX-8,3132.00,1,3132,1,0,0,,19,3132.00,Z-G297898,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48295,24,122295 PUMP GEAR HYDRAULIC H39,1512.00,4,1512,4,0,0,,19,378.00,G122295,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48295,25,24W352 ENDURAFLOW 4:1 350 NPT PUMP,13318.50,3,13318.5,3,0,0,,19,4439.50,G24W352,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48295,26,A-XP1 PROPORTIONER PACKAGE (24Y164),41160.00,4,41160,4,0,0,,19,10290.00,Z-G25M566,110,,,,Equipment,Texas : UL Houston - Distribution,,
V02458,48295,27,108713 WIPER SHAFT,176.20,10,176.2,10,0,0,,19,17.62,G108713,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48295,28,16A953 COUPLER SPIDER,191.40,4,191.4,4,0,0,,19,47.85,G16A953,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48295,29,Kit Spring 12/pk,415.20,20,415.2,20,0,0,,19,20.76,G24R896,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,48295,30,HFR-GSM MACHINE,122424.00,4,61212,2,0,0,,19,30606.00,Z-S-HFR-GSM,110,,,,Equipment,Texas : UL Houston - Distribution,,
V01503,48314,1,Dibasic Ester Flush (55Gal Drum)4 DRUMS,2080.00,2000,2080,2000,0,0,,2,1.04,Z-DBE-55GL,110,,,,Additives,Alabama : Huntsville-Distribution,,
V01503,48314,2,DIOCTYL ADIPATE (55GAL DRUM),603.50,425,667.4,470,0,0,,2,1.42,Z-DOA-55GL,110,,,,Additives,Alabama : Huntsville-Distribution,,
